Run #1:
[67/100] Train Loss: 6622.3688, Test Loss: 7140.832179740376, mIoU: 0.8338205098308032
[68/100] Train Loss: 6541.8695, Test Loss: 5243.642913067457, mIoU: 0.6997483122038509
[69/100] Train Loss: 5955.4058, Test Loss: 5509.082779480733, mIoU: 0.813733091180444
[70/100] Train Loss: 5574.3108, Test Loss: 6976.708504095525, mIoU: 0.7979906886273717
[71/100] Train Loss: 5371.9543, Test Loss: 5389.023876387024, mIoU: 0.8131148508900528
[72/100] Train Loss: 5088.8760, Test Loss: 6166.349055032136, mIoU: 0.8372701689465728
[73/100] Train Loss: 4942.4271, Test Loss: 5806.893977725116, mIoU: 0.8115211062204527
[74/100] Train Loss: 4828.3069, Test Loss: 5237.636414338756, mIoU: 0.8129652489037856
[75/100] Train Loss: 4685.8163, Test Loss: 6294.42526102342, mIoU: 0.8105294270168304
[76/100] Train Loss: 4361.5913, Test Loss: 4821.326034493026, mIoU: 0.8102266557765625
[77/100] Train Loss: 4342.9189, Test Loss: 4360.26277977677, mIoU: 0.8248647710355083
[78/100] Train Loss: 4314.8052, Test Loss: 4655.033130537179, mIoU: 0.8629536803539261
[79/100] Train Loss: 4276.3066, Test Loss: 5594.419164394671, mIoU: 0.8266594385263298
[80/100] Train Loss: 4103.0525, Test Loss: 5087.9693377473395, mIoU: 0.82797578778717
[81/100] Train Loss: 3912.2827, Test Loss: 4059.426345305892, mIoU: 0.8339308129869245
[82/100] Train Loss: 3872.8140, Test Loss: 6580.124668973725, mIoU: 0.8069681250281827
[83/100] Train Loss: 3785.2500, Test Loss: 6668.995186229316, mIoU: 0.8000737771528199
[84/100] Train Loss: 3594.6044, Test Loss: 4332.112254328755, mIoU: 0.8544176866064889
[85/100] Train Loss: 3673.9430, Test Loss: 4252.0132075599995, mIoU: 0.8256673472928772
[86/100] Train Loss: 3451.9313, Test Loss: 4438.517383750037, mIoU: 0.8458403488795467
[87/100] Train Loss: 3374.8287, Test Loss: 4457.618945535934, mIoU: 0.83588664592339
[88/100] Train Loss: 3279.0757, Test Loss: 5319.321363867963, mIoU: 0.8351816246075859
[89/100] Train Loss: 3257.0996, Test Loss: 4951.229976143828, mIoU: 0.8174696787552944
[90/100] Train Loss: 3200.4628, Test Loss: 4394.05391601908, mIoU: 0.8366417883070222
[91/100] Train Loss: 3065.7580, Test Loss: 5102.130827796059, mIoU: 0.8255520552096711
[92/100] Train Loss: 2902.9415, Test Loss: 6155.731473725144, mIoU: 0.8177914619600154
[93/100] Train Loss: 2962.3291, Test Loss: 4516.0598929506605, mIoU: 0.8460289008117118
